epoch,avg_loss
1,1225.362255
2,890.396370
3,764.335507
4,701.428960
5,665.420940
6,639.045782
7,624.512723
8,610.208713
9,599.975664
10,589.734276
11,587.823497
12,576.570258
13,571.381384
14,564.900962
15,560.283970
16,565.632789
17,553.039844
18,549.314252
19,547.074437
20,547.495517
21,540.082839
22,538.291505
23,538.256067
24,533.449819
25,537.433874
26,530.337359
27,530.604134
28,527.373255
29,528.299087
30,529.221355
31,522.503775
32,523.218311
33,522.873542
34,521.305298
35,520.490751
36,516.599554
37,517.104886
38,519.093301
39,515.541991
40,515.484336
41,513.198658
42,513.835274
43,510.615874
44,510.982956
45,512.403664
46,509.490328
47,508.652991
48,507.570388
49,508.458681
50,511.989101
51,505.404634
52,510.999507
53,502.670393
54,508.436279
55,505.750746
56,504.663558
57,501.904143
58,507.563036
59,501.862210
60,501.704388
61,500.913598
62,501.141573
63,500.045239
64,501.239159
65,500.751248
66,500.122360
67,500.041919
68,498.330193
69,496.712047
70,500.235140
71,500.248256
72,502.822625
73,496.823600
74,498.418980
75,499.995758
76,496.478849
77,497.890682
78,496.232943
79,494.910715
80,494.347519
81,500.785385
82,494.289072
83,493.181733
84,495.076256
85,494.720460
86,495.169394
87,491.972167
88,496.614752
89,489.671325
90,494.372752
91,493.975023
92,491.177543
93,491.253925
94,491.319105
95,495.968600
96,501.397528
97,488.850218
98,494.612041
99,492.677857
100,489.388017
